trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5663070,12,6,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
12514070,12,6,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
4954020,12,4,"Oakland Amtrak at Jack London Square",,0,12009,shp-12-07,0,0
6467010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
7838010,12,5,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
3780010,14,5,"Fruitvale BART",,1,62003,shp-14-12,0,0
3344010,14,5,"Fruitvale BART",,1,14002,shp-14-12,0,0
7816070,14,6,"Fruitvale BART",,1,14002,shp-14-12,0,0
12048020,14,4,"Fruitvale BART",,1,14002,shp-14-12,0,0
6209020,14,4,"Fruitvale BART",,1,14001,shp-14-12,0,0
1971010,14,5,"Fruitvale BART",,1,62001,shp-14-12,0,0
7857010,14,5,"Fruitvale BART",,1,14002,shp-14-12,0,0
6769020,14,4,"Fruitvale BART",,1,14001,shp-14-12,0,0
12508010,14,5,"Fruitvale BART",,1,14007,shp-14-12,0,0
7656020,14,4,"Fruitvale BART",,1,14003,shp-14-12,0,0
2596010,14,5,"Fruitvale BART",,1,14002,shp-14-12,0,0
6978020,14,4,"Fruitvale BART",,1,14004,shp-14-12,0,0
8755020,14,4,"Fruitvale BART",,1,14002,shp-14-12,0,0
3389020,14,4,"Fruitvale BART",,1,14002,shp-14-12,0,0
9490010,14,5,"Fruitvale BART",,1,14003,shp-14-12,0,0
13554010,14,5,"Fruitvale BART",,1,14003,shp-14-12,0,0
8054070,14,6,"Fruitvale BART",,1,14004,shp-14-12,0,0
5807070,14,6,"Fruitvale BART",,1,14007,shp-14-12,0,0
11847010,14,5,"Fruitvale BART",,1,14001,shp-14-12,0,0
11225020,14,4,"Fruitvale BART",,1,14001,shp-14-12,0,0
4189010,14,5,"Fruitvale BART",,1,14001,shp-14-12,0,0
9336070,14,6,"Fruitvale BART",,1,62003,shp-14-12,0,0
2926010,14,5,"Fruitvale BART",,1,62002,shp-14-12,0,0
7872070,14,6,"Fruitvale BART",,1,14004,shp-14-12,0,0
3166070,14,6,"Fruitvale BART",,1,62001,shp-14-12,0,0
4137010,14,5,"Fruitvale BART",,1,14003,shp-14-12,0,0
6406020,14,4,"Fruitvale BART",,1,14002,shp-14-12,0,0
4081020,14,4,"Fruitvale BART",,1,14001,shp-14-12,0,0
5714070,14,6,"Fruitvale BART",,1,62002,shp-14-12,0,0
7623010,14,5,"Fruitvale BART",,1,62001,shp-14-12,0,0
6267010,14,5,"Fruitvale BART",,1,14008,shp-14-12,0,0
5059020,14,4,"Fruitvale BART",,1,14007,shp-14-12,0,0
1783020,14,4,"Fruitvale BART",,1,98007,shp-14-12,0,0
2699020,14,4,"Fruitvale BART",,1,98007,shp-14-12,0,0
9561020,14,4,"Fruitvale BART",,1,14002,shp-14-12,0,0
12935010,14,5,"Fruitvale BART",,1,14007,shp-14-12,0,0
3241010,14,5,"Fruitvale BART",,1,62004,shp-14-12,0,0
8457070,14,6,"Fruitvale BART",,1,62001,shp-14-12,0,0
3062010,14,5,"Fruitvale BART",,1,14006,shp-14-12,0,0
7362070,14,6,"Fruitvale BART",,1,62002,shp-14-12,0,0
2329020,14,4,"Fruitvale BART",,1,14005,shp-14-12,0,0
10949020,14,4,"Fruitvale BART",,1,14002,shp-14-12,0,0
